bairro,tipo_imovel,area_util,banheiros,suites,quartos,vagas_garagem,taxa_condominio,preco_aluguel,iptu_ano
Consolação,Flat,28.0,1,0,1,1,770.0,2100.0,140.0
Vila Nova Conceição,Flat,45.0,1,0,1,1,700.0,2240.0,140.0
Higienópolis,Flat,30.0,1,0,1,1,909.0,2170.0,140.0
Jardim Paulista,Flat,28.0,1,1,1,1,979.0,2352.0,98.0
Pinheiros,Flat,35.0,1,1,1,1,868.0,2450.0,140.0
Perdizes,Flat,30.0,1,0,1,1,630.0,2170.0,70.0
Jardim Paulista,Flat,43.0,1,0,1,1,909.0,2170.0,140.0
Bela Vista,Flat,50.0,1,0,1,1,560.0,3360.0,140.0
Brooklin Paulista,Flat,32.0,1,1,1,1,1141.0,2681.0,84.0
Vila Constança,Apartamento,40.0,1,0,2,1,386.0,1767.0,62.0
Planalto Paulista,Flat,32.0,1,0,1,1,700.0,2100.0,140.0
Vila Olímpia,Flat,30.0,1,0,1,1,700.0,2345.0,105.0
Paraíso do Morumbi,Apartamento,69.0,1,0,3,1,406.0,1767.0,62.0
Indianópolis,Apartamento,204.0,1,3,1,3,2310.0,10710.0,630.0
Cerqueira César,Flat,27.0,1,0,1,1,489.0,1889.0,210.0
Bela Vista,Flat,66.0,1,0,1,1,420.0,3010.0,84.0
Vila Uberabinha,Flat,50.0,1,0,1,1,721.0,2212.0,98.0
Consolação,Flat,48.0,1,0,1,1,965.0,2177.0,133.0
Vila Nova Conceição,Flat,48.0,1,0,1,1,770.0,2450.0,140.0
Vila Nova Conceição,Flat,48.0,1,0,1,1,840.0,3709.0,140.0
Moema,Flat,30.0,1,1,1,1,1078.0,2240.0,140.0
Jardim das Vertentes,Apartamento,60.0,2,1,2,1,386.0,1767.0,106.0
Jardim Umuarama,Apartamento,87.0,1,0,3,1,489.0,1767.0,84.0
Jardim Sonia,Apartamento,65.0,1,0,2,1,420.0,1767.0,62.0
Vila Clementino,Flat,29.0,1,0,1,1,560.0,1767.0,140.0
Jardim Paulista,Flat,116.0,1,1,2,2,1957.0,4909.0,340.0
Cerqueira César,Flat,31.0,1,1,1,1,770.0,2170.0,70.0
Vila Suzana,Apartamento,250.0,1,3,4,4,1330.0,6930.0,700.0
Vila Nova Conceição,Apartamento,159.0,5,3,3,3,1924.0,7874.0,175.0
Cidade Monções,Flat,29.0,1,0,1,1,630.0,1959.0,70.0
Jardim Paulista,Flat,35.0,1,0,1,1,588.0,1778.0,62.0
Indianópolis,Flat,36.0,1,1,1,1,386.0,1924.0,105.0
Chácara Santo Antônio,Flat,30.0,1,0,1,1,926.0,3166.0,90.0
Jardim Analia Franco,Apartamento,52.0,1,0,1,1,386.0,1767.0,89.0
Jardim Paulista,Flat,47.0,1,1,1,1,525.0,2273.0,106.0
Cidade Monções,Flat,29.0,1,0,1,1,979.0,2240.0,70.0
Cerqueira César,Flat,42.0,1,1,1,1,1134.0,1973.0,125.0
Vila Nova Conceição,Apartamento,215.0,1,3,4,4,2800.0,13020.0,1365.0
Cidade Monções,Flat,46.0,1,1,1,1,1400.0,4200.0,140.0
Paraíso,Flat,28.0,1,1,1,1,770.0,2310.0,70.0
Bela Aliança,Apartamento,170.0,3,2,4,3,1540.0,6790.0,581.0
Pacaembu,Apartamento,126.0,1,1,3,1,979.0,5180.0,1365.0
Morumbi,Flat,72.0,1,1,1,1,1260.0,2240.0,210.0
Cerqueira César,Flat,28.0,1,1,1,1,1134.0,2401.0,140.0
Itaim Bibi,Flat,29.0,1,0,1,1,1014.0,2310.0,140.0
Morumbi,Apartamento,47.0,1,0,1,1,386.0,2420.0,80.0
Indianópolis,Flat,36.0,1,1,1,1,805.0,1767.0,70.0
Vila Uberabinha,Flat,33.0,1,1,1,1,875.0,2310.0,70.0
Jardim Paulista,Flat,40.0,1,1,2,1,700.0,3290.0,70.0
